RunTimestamp,ModelHealthScore,HealthLabel,HealthColor,AvgCLV,BeatCloseRate,SignalsWithCLV,SignalWinRate,GradedSignals,CLVQualityScore,BeatCloseScore,WinRateScore,RecentFormScore,SampleReliabilityScore,SampleSize,FormulaStatus,SampleWarning,Warning,TimelineSavedAt,HealthRunID
2026-05-28 02:08:45,36.4,LEARNING,YELLOW,0.0,14.3,14,50.0,0,50.0,14.3,50.0,50.0,7.0,14,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 02:08:46,2026-05-28 02:08:45
2026-05-28 02:20:56,43.8,LEARNING,YELLOW,1.367,20.0,15,50.0,0,74.61,20.0,50.0,50.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 02:20:57,2026-05-28 02:20:56
2026-05-28 02:27:07,43.2,LEARNING,YELLOW,0.719,31.2,16,50.0,0,62.94,31.2,50.0,50.0,8.0,16,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 02:27:08,2026-05-28 02:27:07
2026-05-28 10:00:53,63.2,LEARNING,YELLOW,0.719,31.2,16,60.0,5,62.94,31.2,100.0,100.0,8.0,16,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 10:01:06,2026-05-28 10:00:53
2026-05-28 13:34:01,64.2,LEARNING,YELLOW,0.542,41.7,12,60.0,5,59.76,41.7,100.0,100.0,6.0,12,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 13:34:02,2026-05-28 13:34:01
2026-05-28 14:49:23,56.4,LEARNING,YELLOW,0.033,13.3,15,60.0,5,50.59,13.3,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 14:49:24,2026-05-28 14:49:23
2026-05-28 15:12:43,56.4,LEARNING,YELLOW,0.033,13.3,15,60.0,5,50.59,13.3,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 15:12:44,2026-05-28 15:12:43
2026-05-28 15:13:33,56.4,LEARNING,YELLOW,0.033,13.3,15,60.0,5,50.59,13.3,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 15:13:34,2026-05-28 15:13:33
2026-05-28 15:27:39,58.2,LEARNING,YELLOW,0.133,20.0,15,60.0,5,52.39,20.0,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 15:27:40,2026-05-28 15:27:39
2026-05-28 16:22:18,58.2,LEARNING,YELLOW,0.133,20.0,15,60.0,5,52.39,20.0,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 16:22:19,2026-05-28 16:22:18
2026-05-28 16:55:54,58.2,LEARNING,YELLOW,0.133,20.0,15,60.0,5,52.39,20.0,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 16:55:55,2026-05-28 16:55:54
2026-05-28 16:58:14,58.2,LEARNING,YELLOW,0.133,20.0,15,60.0,5,52.39,20.0,100.0,100.0,7.5,15,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 16:58:15,2026-05-28 16:58:14
2026-05-28 17:44:04,58.7,LEARNING,YELLOW,0.059,23.5,17,60.0,5,51.06,23.5,100.0,100.0,8.5,17,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 17:44:05,2026-05-28 17:44:04
2026-05-28 20:43:38,58.7,LEARNING,YELLOW,0.059,23.5,17,60.0,5,51.06,23.5,100.0,100.0,8.5,17,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 20:43:39,2026-05-28 20:43:38
2026-05-28 21:23:49,51.9,LEARNING,YELLOW,0.053,26.3,19,60.0,5,50.95,26.3,100.0,50.0,9.5,19,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 21:23:50,2026-05-28 21:23:49
2026-05-28 22:08:13,51.9,LEARNING,YELLOW,0.053,26.3,19,60.0,5,50.95,26.3,100.0,50.0,9.5,19,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 22:08:15,2026-05-28 22:08:13
2026-05-28 22:13:32,51.9,LEARNING,YELLOW,0.053,26.3,19,60.0,5,50.95,26.3,100.0,50.0,9.5,19,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 22:13:33,2026-05-28 22:13:32
2026-05-28 23:19:50,53.1,LEARNING,YELLOW,0.125,30.0,20,60.0,5,52.25,30.0,100.0,50.0,10.0,20,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 23:19:51,2026-05-28 23:19:50
2026-05-28 23:21:04,53.1,LEARNING,YELLOW,0.125,30.0,20,60.0,5,52.25,30.0,100.0,50.0,10.0,20,FROZEN,LOW SAMPLE,Informational only. Do not overreact to small samples.,2026-05-28 23:21:05,2026-05-28 23:21:04
